GenoneName_query	TaxonID_query	LocusTag_query	GI_query	RefSeqAcc_query	GeneName_query	ProductName_query	Inparalog_query_genome	GenomeName_hit	TaxonID_hit	LocusTag_hit	GI_hit	RefSeqAcc_hit	GeneName_hit	ProductName_hit	Inparalog_hit_genome	analysis_type	Ortholuge_Class
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Arthrobacter sp. FB24	290399	Arth_0295	116668863	YP_829796.1		DNA end-binding protein Ku		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Cyclobacterium marinum DSM 745	880070	Cycma_1182	343083890	YP_004773185		DNA repair protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas aeruginosa NCGM2.S1	1089456	NCGM2_3133	386066062	YP_005981366		KU domain-containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Actinoplanes missouriensis 431	512565	AMIS_3560	383775526	YP_005460092		putative Ku70/Ku80 protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas putida BIRD-1	931281	PPUBIRD1_2520	386012074	YP_005930351		Ku family containing protein		ortholuge	Borderline-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Mycobacterium tuberculosis CCDC5180	443150	CCDC5180_0857	385990391	YP_005908689		hypothetical protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Mycobacterium chubuense NBB4	710421	Mycch_4293	392418081	YP_006454686		Ku protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sphingobium sp. SYK-6	627192	SLG_04310	347526816	YP_004833563		Ku protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudonocardia dioxanivorans CB1190	675635	Psed_0327	331694214	YP_004330453		Ku protein		ortholuge	Borderline-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Burkholderia sp. KJ006	416344	MYA_5304	387906043	YP_006336380		Ku domain-containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	1048834	TC41_1546	384135283	YP_005517997		Ku protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus amyloliquefaciens LL3	1001582	LL3_01441	384163831	YP_005545210	ykoV	ATP-dependent DNA ligase subunit		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Nocardia cyriacigeorgica GUH-2	1127134	NOCYR_2340	379708548	YP_005263753		hypothetical protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas fluorescens A506	1037911	PflA506_2575	387893758	YP_006324055		Ku protein		ortholuge	Borderline-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Collimonas fungivorans Ter331	1005048	CFU_1973	340787162	YP_004752627	ligD	Ku domain-containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Mycobacterium africanum GM041182	572418	MAF_09460	339630999	YP_004722641		hypothetical protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas putida S16	1042876	PPS_2720	339487623	YP_004702151		Ku family containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Eggerthella sp. YY7918	502558	EGYY_13950	339444943	YP_004710947		hypothetical protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus anthracis str. H9401	768494	H9401_0773	386734646	YP_006207827		Ku protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Xanthomonas campestris pv. raphani 756C	990315	XCR_0121	384425812	YP_005635169		Ku protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas stutzeri DSM 4166	996285	PSTAA_2193	386020799	YP_005938823		KU domain-containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Mycobacterium tuberculosis CTRI-2	707235	MTCTRI2_0961	385997718	YP_005916016		hypothetical protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Halobacillus halophilus DSM 2266	866895	HBHAL_4933	386716217	YP_006182541	ykoV	DNA repair protein YkoV		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sinorhizobium fredii USDA 257	1185652	USDA257_c52050	398355023	YP_006400487		putative DNA repair protein	USDA257_c15170; putative DNA repair protein ; GI:398351400; RefSeq:YP_006396864	ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sinorhizobium fredii USDA 257	1185652	USDA257_c16590	398351541	YP_006397005		putative DNA repair protein	USDA257_c15170; putative DNA repair protein ; GI:398351400; RefSeq:YP_006396864	ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sinorhizobium fredii USDA 257	1185652	USDA257_c16560	398351538	YP_006397002		putative DNA repair protein	USDA257_c15170; putative DNA repair protein ; GI:398351400; RefSeq:YP_006396864	ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sinorhizobium fredii USDA 257	1185652	USDA257_c15170	398351400	YP_006396864		putative DNA repair protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus thuringiensis serovar finitimus YBT-020	930170	YBT020_04340	384178770	YP_005564532		hypothetical protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bradyrhizobium sp. S23321	335659	S23_48830	383773123	YP_005452189		putative ATP-dependent DNA ligase protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bradyrhizobium sp. S23321	335659	S23_15380	383769804	YP_005448867		hypothetical protein	S23_48830; putative ATP-dependent DNA ligase protein ; GI:383773123; RefSeq:YP_005452189	ortholuge	Borderline-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus sp. JS	1127744	MY9_1469	386758046	YP_006231262		ATP-dependent DNA ligase subunit		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Gordonia polyisoprenivorans VH2	1112204	GPOL_c05180	378716064	YP_005280953		putative DNA repair protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Amycolatopsis mediterranei S699 NC_017186	713604	RAM_26825	384150483	YP_005533299		DNA end-binding protein Ku		ortholuge	Non-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2	1155777	BANAU_1255	384264885	YP_005420592	ykoV	Protein Ku70 Protein mus-51		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Mycobacterium smegmatis str. MC2 155 NC_018289	246196	MSMEI_5431	399989817	YP_006570167		Ku70/Ku80 protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Actinoplanes sp. SE50/110	134676	ACPL_521	386845473	YP_006263486		DNA end-binding protein Ku		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Burkholderia pseudomallei 1026b	884204	BP1026B_II2380	386866040	YP_006278988		Ku70/Ku80 beta-barrel domain-containing protein		ortholuge	Borderline-SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus thuringiensis serovar chinensis CT-43	541229	CT43_CH0780	384184865	YP_005570761		DNA-binding protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas aeruginosa DK2	1093787	PADK2_14915	392984377	YP_006482964		putative KU domain-containing protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Pseudomonas putida DOT-T1E	1196325	T1E_5620	397698352	YP_006536235		Ku family containing protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Cupriavidus necator N-1	1042878	CNE_2c23210	339323607	YP_004682501		ATP-dependent DNA helicase		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Thermoanaerobacterium saccharolyticum JW/SL-YS485	1094508	Tsac_1307	390934412	YP_006391917		DNA repair protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Blastococcus saxobsidens DD2	1146883	BLASA_3099	379736494	YP_005330000		DNA end-binding protein Ku		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus amyloliquefaciens TA208	999891	BAMTA208_10440	384159675	YP_005541748	ykoV	ATP-dependent DNA ligase subunit		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Solitalea canadensis DSM 3403	929556	Solca_1674	387790851	YP_006255916		Ku protein		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Solitalea canadensis DSM 3403	929556	Solca_1327	387790526	YP_006255591		Ku protein	Solca_1674; Ku protein ; GI:387790851; RefSeq:YP_006255916	rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Desulfomonile tiedjei DSM 6799	706587	Desti_2360	392410703	YP_006447310		Ku protein		ortholuge	RBBH - No suitable outgroup gene found for ortholuge analysis
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Sulfobacillus acidophilus TPY	1051632	TPY_1570	339627852	YP_004719495		Ku domain-containing protein		ortholuge	SSD
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus amyloliquefaciens subsp. plantarum CAU B946	1114958	BACAU_1296	375361986	YP_005130025	ykoV	DNA end-binding protein Ku		rbb	
Mycobacterium smegmatis str. MC2 155 NC_008596	246196	MSMEG_5580	118471519	YP_889815.1		Ku protein		Bacillus megaterium WSH-002	1006007	BMWSH_2644	384046818	YP_005494835	ykoV	ATP-dependent DNA ligase subunit		rbb	
